"date","state","count_type","state_name","Total_count","White_count","Black_count","Asian_count","AIAN_count","NHPI_count","Multiracial_count","Other_count","Latinx_count","Total_prop","White_prop","Black_prop","Asian_prop","AIAN_prop","NHPI_prop","Multiracial_prop","Other_prop","Latinx_prop","Total_population","White_population","Black_population","Asian_population","AIAN_population","NHPI_population","Multiracial_population","Other_population","Latinx_population"
2021-03-07,"DC","Cases","District of Columbia",41419,10708,20164,914,86,82,NA,9148,NA,0.0539874373857041,0.0391955899470706,0.0705503656275148,0.0272469816664182,0.0269339179455058,0.189814814814815,NA,0.2452941491929,NA,767197,273194,285810,33545,3193,432,NA,37294,NA
2021-03-07,"DC","Deaths","District of Columbia",1030,105,773,14,NA,NA,NA,0,119,0.00134254956679966,0.00038434226227516,0.00270459396102306,0.000417349828588463,NA,NA,NA,0,0.00153247823623345,767197,273194,285810,33545,NA,NA,NA,37294,77652
2021-03-07,"DE","Cases","Delaware",88354,42730,19768,1842,NA,NA,NA,5190,14532,0.0807447739888397,0.0714831797886453,0.090306488380486,0.0431391835874376,NA,NA,NA,0.106990455379414,0.139342218812925,1094238,597763,218899,42699,NA,NA,NA,48509,104290
2021-03-07,"DE","Deaths","Delaware",1473,1036,329,11,NA,NA,NA,15,80,0.00134614224693348,0.00173312834685318,0.0015029762584571,0.000257617274409237,NA,NA,NA,0.000309220969304665,0.000767091763352191,1094238,597763,218899,42699,NA,NA,NA,48509,104290
2021-03-07,"DE","Tests","Delaware",633424,311489,118013,16091,NA,NA,NA,58282,55204,0.578872238032311,0.521091134780841,0.539120781730387,0.376847232956275,NA,NA,NA,1.20146776886763,0.529331671301179,1094238,597763,218899,42699,NA,NA,NA,48509,104290
2021-03-07,"FL","Cases","Florida",1944995,664121,237772,NA,NA,NA,NA,141809,608165,0.0714141548065319,0.0534591551885255,0.0732421733616603,NA,NA,NA,NA,0.0906543705035281,0.10674730220247,27235427,12422961,3246381,NA,NA,NA,NA,1564282,5697240
2021-03-07,"FL","Deaths","Florida",32266,17316,4812,NA,NA,NA,NA,1427,7325,0.00118470696273644,0.00139387059172125,0.0014822659447551,NA,NA,NA,NA,0.000912239608970761,0.00128571027374659,27235427,12422961,3246381,NA,NA,NA,NA,1564282,5697240
2021-03-07,"FL","Hosp","Florida",82237,38131,16138,NA,NA,NA,NA,4284,20583,0.00301948634768972,0.00306939706242336,0.00497107394356978,NA,NA,NA,NA,0.00273863663968517,0.00361280198833119,27235427,12422961,3246381,NA,NA,NA,NA,1564282,5697240
2021-03-07,"GA","Cases","Georgia",1023487,319208,216068,17888,504,746,NA,36133,85460,0.0864770119045758,0.0574581904039667,0.0650706682973384,0.0373422847933732,0.00995693231656723,0.10220578161392,NA,0.0650975842207765,0.0760687769981406,11835365,5555483,3320513,479028,50618,7299,NA,555059,1123457
2021-03-07,"GA","Deaths","Georgia",17906,8939,5282,298,10,10,NA,78,852,0.00151292334456943,0.00160904101407564,0.00159071806073339,0.000622093071803736,0.00019755818088427,0.0013700506918756,NA,0.000140525601782874,0.000758373484699459,11835365,5555483,3320513,479028,50618,7299,NA,555059,1123457
2021-03-07,"GA","Hosp","Georgia",56797,24335,22046,1029,20,69,NA,1076,6155,0.00479892255118452,0.00438035720746513,0.0066393355484529,0.00214809990230216,0.000395116361768541,0.00945334977394164,NA,0.00193853266049195,0.00547862535014691,11835365,5555483,3320513,479028,50618,7299,NA,555059,1123457
2021-03-07,"HI","Cases","Hawaii",27891,3646,580,6068,NA,8008,NA,1035,NA,0.0174953612922894,0.0109403740611713,0.0247683306999189,0.0111975966134098,NA,0.0508622058496618,NA,0.0386959285153475,NA,1594194,333261,23417,541902,NA,157445,NA,26747,NA
2021-03-07,"HI","Deaths","Hawaii",445,40,4,244,NA,137,NA,6,NA,0.00027913792173349,0.000120026045651906,0.000170816073792544,0.000450265915239287,NA,0.000870145130045413,NA,0.000224324223277377,NA,1594194,333261,23417,541902,NA,157445,NA,26747,NA
2021-03-07,"HI","Hosp","Hawaii",2226,151,15,521,NA,660,NA,38,NA,0.00139631688489607,0.000453098322335947,0.00064056027672204,0.000961428450162575,NA,0.00419194004255454,NA,0.00142072008075672,NA,1594194,333261,23417,541902,NA,157445,NA,26747,NA
2021-03-07,"IA","Cases","Iowa",339671,200406,10190,3397,888,824,NA,2379,NA,0.0997168527649056,0.0743753713554283,0.0772133482860001,0.0449166325086938,0.0613005660637857,0.143105244876693,NA,0.0268146979260595,NA,3406355,2694521,131972,75629,14486,5758,NA,88720,NA
2021-03-07,"IA","Deaths","Iowa",5558,5154,134,61,19,16,NA,47,NA,0.00163165612509559,0.00191277039592566,0.00101536689600824,0.000806568908751934,0.00131161121082424,0.00277874261896492,NA,0.0005297565374211,NA,3406355,2694521,131972,75629,14486,5758,NA,88720,NA
2021-03-07,"ID","Cases","Idaho",172931,99914,1008,1219,2054,409,NA,13191,NA,0.083199383405348,0.0661524404777669,0.064097672644029,0.0454240572365479,0.0801686116857265,0.109769189479334,NA,0.127286938397406,NA,2078513,1510360,15726,26836,25621,3726,NA,103632,NA
2021-03-07,"ID","Deaths","Idaho",1879,1761,9,17,35,NA,NA,41,NA,0.000904011666032399,0.00116594719139808,0.000572300648607402,0.000633477418393203,0.00136606689824753,NA,NA,0.000395630693222171,NA,2078513,1510360,15726,26836,25621,NA,NA,103632,NA
2021-03-07,"IL","Cases","Illinois",1198335,470333,110701,27074,1492,1125,NA,41054,219967,0.0790984479255927,0.059776236755752,0.0612192530876179,0.0358653981173117,0.015461460341147,0.249944456787381,NA,0.0361661773035963,0.0941071527887705,15149918,7868227,1808271,754878,96498,4501,NA,1135149,2337410
2021-03-07,"IL","Deaths","Illinois",23014,12202,3668,737,26,20,NA,120,3291,0.00151908412969628,0.00155079409884844,0.00202845701778107,0.000976316702831451,0.00026943563597173,0.00444345700955343,NA,0.000105712994505567,0.00140796864906028,15149918,7868227,1808271,754878,96498,4501,NA,1135149,2337410
2021-03-07,"IL","Tests","Illinois",18640190,6066122,1362411,720684,15305,18976,NA,534214,1263482,1.23038223705237,0.770964284584062,0.75343297547768,0.954702614197261,0.158604323405666,4.2159520106643,NA,0.470611347056642,0.540547871361892,15149918,7868227,1808271,754878,96498,4501,NA,1135149,2337410
2021-03-07,"IN","Cases","Indiana",667262,452265,44471,8987,NA,NA,NA,72744,NA,0.0909111098122421,0.0862805584728132,0.0685737988290134,0.0535071059008448,NA,NA,NA,0.278379867744306,NA,7339719,5241795,648513,167959,NA,NA,NA,261312,NA
2021-03-07,"IN","Deaths","Indiana",12737,9096,939,70,NA,NA,NA,1591,NA,0.00173535253870073,0.00173528342867281,0.00144792779790074,0.000416768377997011,NA,NA,NA,0.0060885072250796,NA,7339719,5241795,648513,167959,NA,NA,NA,261312,NA
2021-03-07,"IN","Tests","Indiana",3150418,2172766,239719,59652,NA,NA,NA,381330,NA,0.429228693905039,0.414508007276133,0.369644093487717,0.35515810406111,NA,NA,NA,1.45929004408523,NA,7339719,5241795,648513,167959,NA,NA,NA,261312,NA
2021-03-07,"KS","Cases","Kansas",295861,209752,14330,5525,2074,NA,NA,12197,NA,0.0891017963350513,0.0943782165904299,0.0848888388652264,0.064040893442908,0.0669140183900629,NA,NA,0.0838731416154365,NA,3320483,2222462,168809,86273,30995,NA,NA,145422,NA
2021-03-07,"KS","Deaths","Kansas",4812,3721,235,64,38,NA,NA,245,NA,0.00144918675987801,0.00167426934633753,0.00139210587113246,0.000741831163863549,0.00122600419422488,NA,NA,0.00168475196325178,NA,3320483,2222462,168809,86273,30995,NA,NA,145422,NA
